,text,text,text,text
source,Media Studio,Twitter Web Client,Twitter for Android,Twitter for iPhone
hour,,,,
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,8.0
7,0.0,0.0,3.0,8.0
8,0.0,0.0,0.0,2.0
9,0.0,0.0,0.0,6.0
10,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,2.0
12,1.0,0.0,0.0,0.0
13,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,2.0
15,1.0,0.0,0.0,0.0
16,0.0,0.0,0.0,2.0
17,0.0,0.0,0.0,1.0
18,1.0,0.0,0.0,3.0
19,0.0,1.0,1.0,2.0
20,0.0,0.0,0.0,2.0
21,0.0,0.0,1.0,2.0
22,0.0,0.0,0.0,2.0
23,0.0,0.0,0.0,1.0
