,,text,text,text,text,text,text
source,,Media Studio,Twitter Ads,Twitter Web Client,Twitter for Android,Twitter for iPad,Twitter for iPhone
year,month,,,,,,
2017,01,,,,3.0,,
2017,02,,,,17.0,,1.0
2017,03,,,,1.0,,6.0
2017,04,,,,,,3.0
2017,05,,,,,,12.0
2017,06,,,,,,12.0
2017,07,,,,,,16.0
2017,08,,,,,,18.0
2017,09,,,,,,8.0
2017,10,,,,,,20.0
2017,11,,,1.0,,,7.0
2017,12,,,,,,22.0
2018,01,,,,,,6.0
2018,02,,,,,,9.0
2018,03,,,,,,7.0
2018,04,,,,,,16.0
2018,05,,,,,,9.0
2018,06,,,,,,22.0
2018,07,,,,,,27.0
2018,08,,,,,,27.0
